time,ns1:ele,ns2:hr,ns2:cad
00:27:56,146.0,172,81
00:28:00,146.0,169,0
00:28:04,146.6000061,165,0
00:28:08,146.6000061,162,0
00:28:12,146.6000061,159,55
00:28:16,146.8000031,156,55
00:28:20,146.8000031,157,43
00:28:24,147.0,155,43
00:28:28,147.0,155,43
00:28:32,147.8000031,156,0
00:28:36,148.0,153,59
00:28:40,147.3999939,150,51
00:28:44,146.3999939,149,61
00:28:48,146.0,148,59
00:28:52,146.0,144,40
00:28:56,146.0,145,0
00:29:00,146.0,142,41
00:29:04,146.0,139,31
00:29:08,145.8000031,136,0
00:29:12,145.1999969,137,0
00:29:16,144.6000061,138,39
00:29:20,144.1999969,135,0
00:29:24,145.0,132,43
00:29:28,145.1999969,135,36
00:29:32,145.3999939,137,46
00:29:36,146.3999939,140,36
00:29:40,146.6000061,143,46
00:29:44,147.0,146,55
00:29:48,147.1999969,150,55
00:29:52,147.3999939,151,0
00:29:56,147.8000031,151,55
00:30:00,148.0,152,55
00:30:04,148.1999969,153,52
00:30:08,148.3999939,154,38
00:30:12,148.6000061,156,45
00:30:16,148.6000061,156,46
00:30:20,148.6000061,159,34
00:30:24,148.8000031,162,43
00:30:28,149.0,165,47
00:30:32,149.3999939,168,47
00:30:36,149.6000061,167,0
00:30:40,148.8000031,163,0
00:30:44,148.0,160,0
00:30:48,147.3999939,156,0
00:30:52,147.8000031,152,0
00:30:56,148.1999969,150,38
00:31:00,147.8000031,153,34
00:31:04,147.8000031,154,45
00:31:08,148.0,157,49
00:31:12,149.0,155,39
00:31:16,152.3999939,153,41
00:31:20,153.1999969,153,46
00:31:24,154.6000061,155,45
00:31:28,154.6000061,155,46
00:31:32,154.6000061,156,49
00:31:36,154.6000061,157,48
00:31:40,154.8000031,157,48
00:31:44,155.3999939,157,52
00:31:48,157.0,159,48
00:31:52,157.1999969,160,48
00:31:56,158.3999939,161,41
00:32:00,159.3999939,164,46
00:32:04,160.0,166,47
00:32:08,161.0,169,50
00:32:12,162.1999969,172,40
00:32:16,163.6000061,175,38
00:32:20,164.0,176,38
00:32:24,165.3999939,176,45
00:32:28,165.8000031,175,45
00:32:32,165.8000031,174,43
00:32:36,165.1999969,175,0
00:32:40,162.6000061,172,0
00:32:44,160.0,168,0
00:32:48,158.6000061,165,0
00:32:52,155.6000061,162,0
00:32:56,154.3999939,161,0
00:33:00,152.0,159,37
00:33:04,151.0,158,37
00:33:08,149.8000031,158,0
00:33:12,149.1999969,158,105
00:33:16,148.6000061,158,101
00:33:20,148.1999969,162,101
00:33:24,148.1999969,162,99
00:33:28,148.1999969,162,71
00:33:32,148.1999969,162,55
00:33:36,148.0,163,38
00:33:40,148.1999969,160,0
00:33:44,148.6000061,157,36
00:33:48,149.0,154,36
00:33:52,149.6000061,151,37
00:33:56,150.3999939,154,52
00:34:00,150.3999939,155,51
00:34:04,150.3999939,156,40
00:34:08,150.6000061,159,50
00:34:12,150.6000061,162,46
00:34:16,150.6000061,163,46
00:34:20,150.6000061,166,47
00:34:24,150.6000061,169,34
00:34:28,150.1999969,172,34
00:34:32,148.8000031,170,0
00:34:36,147.0,168,34
00:34:40,146.8000031,166,37
00:34:44,146.3999939,165,32
00:34:48,145.8000031,162,36
00:34:52,146.3999939,160,47
00:34:56,147.8000031,158,35
00:35:00,148.0,159,42
00:35:04,147.6000061,156,64
00:35:08,147.1999969,152,64
00:35:12,146.8000031,149,45
00:35:16,146.8000031,149,50
00:35:20,146.3999939,146,49
00:35:24,146.0,143,41
00:35:28,146.0,142,43
00:35:32,146.0,142,41
00:35:36,146.0,142,39
00:35:40,145.1999969,140,0
00:35:44,144.6000061,140,43
00:35:48,144.8000031,137,52
00:35:52,145.1999969,140,56
00:35:56,145.1999969,140,40
00:36:00,145.6000061,143,47
00:36:04,146.6000061,146,48
00:36:08,147.0,149,46
00:36:12,147.3999939,152,38
00:36:16,148.3999939,155,44
00:36:20,148.6000061,158,40
00:36:24,148.8000031,161,42
00:36:28,148.8000031,164,41
00:36:32,149.0,166,50
00:36:36,149.3999939,167,48
00:36:40,149.8000031,170,48
00:36:44,149.1999969,167,0
00:36:48,149.0,163,0
00:36:52,147.8000031,160,0
00:36:56,147.8000031,157,0
00:37:00,148.0,155,0
00:37:04,148.0,153,33
00:37:08,147.8000031,156,36
00:37:12,148.0,157,47
00:37:16,148.1999969,160,47
00:37:20,149.3999939,160,0
00:37:24,150.6000061,158,49
00:37:28,151.3999939,156,40
00:37:32,152.8000031,153,38
00:37:36,153.3999939,153,39
00:37:40,154.1999969,154,48
00:37:44,154.1999969,155,48
00:37:48,154.6000061,156,47
00:37:52,155.8000031,159,46
00:37:56,156.8000031,161,59
00:38:00,159.0,164,48
00:38:04,160.3999939,167,40
00:38:08,161.3999939,169,50
00:38:12,161.8000031,172,50
00:38:16,163.0,175,51
00:38:20,164.0,179,59
00:38:24,164.6000061,181,56
00:38:28,165.1999969,182,50
00:38:32,165.1999969,181,48
00:38:36,165.3999939,181,31
00:38:40,165.6000061,182,31
00:38:44,165.8000031,180,44
00:38:48,162.6000061,177,0
00:38:52,159.1999969,174,0
00:38:56,155.0,171,0
00:39:00,153.3999939,168,0
00:39:04,152.6000061,167,0
00:39:08,151.6000061,167,0
00:39:12,150.1999969,166,39
00:39:16,149.3999939,166,39
00:39:20,149.0,167,41
00:39:24,148.3999939,167,0
00:39:28,148.8000031,164,0
00:39:32,148.3999939,161,0
00:39:36,148.6000061,158,0
00:39:40,149.3999939,155,33
00:39:44,150.0,154,33
00:39:48,150.1999969,157,48
00:39:52,150.1999969,159,50
00:39:56,150.3999939,162,43
00:40:00,150.6000061,165,35
00:40:04,150.6000061,168,35
00:40:08,150.8000031,172,35
00:40:12,150.8000031,175,43
00:40:16,150.6000061,178,41
00:40:20,150.0,181,0
00:40:24,149.1999969,178,0
00:40:28,147.1999969,175,0
00:40:32,146.6000061,174,0
00:40:36,146.8000031,171,0
00:40:40,146.3999939,168,40
00:40:44,146.8000031,168,40
00:40:48,146.8000031,168,39
00:40:52,147.3999939,166,41
00:40:56,147.6000061,163,33
00:41:00,147.0,162,33
00:41:04,146.8000031,161,33
00:41:08,146.1999969,158,33
00:41:12,146.0,154,34
